# $ ../../source/project4 -l 2 -E 1 -c 1e7 -e 10
c,E,CV,Mabs,Chi,M,accs,Eraw
9.3009300000000000e+05,-1.9958347848151350e+00,3.3252325408774652e-02,9.9861947953088104e-01,4.1102842827864805e-03,-1.0172952120453636e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.4009400000000000e+05,-1.9958429290968369e+00,3.3187442271328749e-02,9.9862086938947014e-01,4.1101047550520242e-03,-1.0761846003286937e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.5009500000000000e+05,-1.9958551120635395e+00,3.3090383107660770e-02,9.9862433506019455e-01,4.1015318862660521e-03,-1.0879541430986248e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.6009600000000000e+05,-1.9958691243606048e+00,3.2978748580969608e-02,9.9863085324559131e-01,4.0765066357164592e-03,-1.0538784505987478e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.7009700000000000e+05,-1.9958972794220731e+00,3.2754435358853584e-02,9.9863981411995617e-01,4.0509942798228060e-03,-1.0316435210001566e-01,0.0000000000000000e+00,-2.0000000000000000e+00
9.8009800000000000e+05,-1.9958922097891110e+00,3.2794825925446247e-02,9.9863991943588792e-01,4.0452938972199703e-03,-9.4539373465062873e-02,0.0000000000000000e+00,-2.0000000000000000e+00
9.9009900000000000e+05,-1.9959094627761114e+00,3.2657367811989246e-02,9.9864557767475681e-01,4.0286588882296748e-03,-9.3886414366370741e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0001000000000000e+06,-1.9959243708822496e+00,3.2538589931181860e-02,9.9864912292981334e-01,4.0223338279345988e-03,-8.5727198824906939e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0101010000000000e+06,-1.9959409637933971e+00,3.2406386553116562e-02,9.9865408299442027e-01,4.0092198565315762e-03,-9.1923804960340250e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0201020000000000e+06,-1.9959395859005011e+00,3.2417364945352745e-02,9.9865208368256619e-01,4.0198162915086044e-03,-8.5736300513776689e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0301030000000000e+06,-1.9959634751779936e+00,3.2227024445496966e-02,9.9865983104454548e-01,3.9973046994039585e-03,-8.3028830378586813e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0401040000000000e+06,-1.9959215263990309e+00,3.2561253020098491e-02,9.9864579677817888e-01,4.0394102644936147e-03,-8.0646960133449352e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0501050000000000e+06,-1.9959318005210953e+00,3.2479394843237586e-02,9.9864774268257384e-01,4.0380300262419233e-03,-7.9336555895841904e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0601060000000000e+06,-1.9959456540297726e+00,3.2369016876833356e-02,9.9865295345614602e-01,4.0206751553313325e-03,-7.1960396076962765e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0701070000000000e+06,-1.9959069169365797e+00,3.2677651191505674e-02,9.9864124594196046e-01,4.0520564344559418e-03,-6.8984336014084685e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0801080000000000e+06,-1.9959374094411717e+00,3.2434705902431915e-02,9.9865104957971440e-01,4.0238332939397381e-03,-7.4810734941889584e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.0901090000000000e+06,-1.9959306485643520e+00,3.2488573000756915e-02,9.9864737180075225e-01,4.0390993476568937e-03,-7.1917713971195299e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1001100000000000e+06,-1.9959476448071587e+00,3.2353155212295093e-02,9.9865421447667080e-01,4.0151133924344329e-03,-6.6478896028637366e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1101110000000000e+06,-1.9959517233551511e+00,3.2320658983618245e-02,9.9865462813327066e-01,4.0167144536882304e-03,-6.6729453689841109e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1201120000000000e+06,-1.9959753701222120e+00,3.2132248439690869e-02,9.9866306937844107e-01,3.9898043176180842e-03,-6.8872684029950823e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1301130000000000e+06,-1.9959809008728400e+00,3.2088180386104170e-02,9.9866428222535275e-01,3.9880709528294922e-03,-5.9425946638539465e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1401140000000000e+06,-1.9959635296748983e+00,3.2226590230072460e-02,9.9865538700382861e-01,4.0239757154889588e-03,-5.4386218813179489e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1501150000000000e+06,-1.9959760230796117e+00,3.2127045802083032e-02,9.9865838453151279e-01,4.0185161622736665e-03,-4.9471961714833243e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1601160000000000e+06,-1.9959883010791246e+00,3.2029216454075637e-02,9.9866262336146583e-01,4.0054066052364057e-03,-5.2526620389326158e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1701170000000000e+06,-1.9959952414648905e+00,3.1973915917177465e-02,9.9866550779928009e-01,3.9950711914746861e-03,-5.3167314470117286e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1801180000000000e+06,-1.9960020642161020e+00,3.1919552309055632e-02,9.9866664858924048e-01,3.9950613767212317e-03,-5.6401993375188225e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.1901190000000000e+06,-1.9960104528152860e+00,3.1852711530754974e-02,9.9866945072304236e-01,3.9866670315182873e-03,-5.7520313248355194e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2001200000000000e+06,-1.9959937039157212e+00,3.1986167040971125e-02,9.9866304033543563e-01,4.0083120585285847e-03,-5.7628419371208162e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2101210000000000e+06,-1.9959937592553416e+00,3.1985726097650158e-02,9.9866293367886605e-01,4.0090061967572588e-03,-6.3654438597419080e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2201220000000000e+06,-1.9960069272272323e+00,3.1880803661467283e-02,9.9866774634808420e-01,3.9933495395549912e-03,-6.8366208703620077e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2301230000000000e+06,-1.9960117517563414e+00,3.1842361453056967e-02,9.9866882256441269e-01,3.9917282364050344e-03,-6.4131048016687883e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2401240000000000e+06,-1.9959874689040935e+00,3.2035847144069152e-02,9.9865980171193802e-01,4.0214741066599835e-03,-6.4629490006975154e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2501250000000000e+06,-1.9959699739864141e+00,3.2175243670007347e-02,9.9865492482297646e-01,4.0331881396280522e-03,-6.1477894851357795e-02,0.0000000000000000e+00,-2.0000000000000000e+00
1.2601260000000000e+06,-1.9959797383893718e+00,3.2097442871354076e-02,9.9865845790509933e-01,4.0217920180061206e-03,-6.2062094234106836e-02,0.0000000000000000e+00,-2.0000000000000000e+00
