# $ ./project4 -L 20 -E 1 -c 1E4 -s 1
c,E,CV,Mabs,Chi,M
4.5400000000000000e+03,-1.9839947148205241e+00,2.5406329771556191e+00,9.7519048667694330e-01,7.3316194872517375e+00,9.7518828451882844e-01
4.5500000000000000e+03,-1.9840298835420789e+00,2.5352750547867617e+00,9.7524500109865964e-01,7.3160493802482964e+00,9.7524280377938910e-01
4.5600000000000000e+03,-1.9840648980486737e+00,2.5299396439534032e+00,9.7529927647445736e-01,7.3005451863725463e+00,9.7529708397281301e-01
4.5700000000000000e+03,-1.9840997593524392e+00,2.5246266033459688e+00,9.7535331437322259e-01,7.2851064884958756e+00,9.7535112666812507e-01
4.5800000000000000e+03,-1.9841344684566691e+00,2.5193357928338811e+00,9.7540711635014188e-01,7.2697328729977748e+00,9.7540493342065049e-01
4.5900000000000000e+03,-1.9841646700065345e+00,2.5140467444545358e+00,9.7545959485950773e-01,7.2544047270612646e+00,9.7545741668481811e-01
4.6000000000000000e+03,-1.9841860465116279e+00,2.5087395561128507e+00,9.7550967181047599e-01,7.2391027880551704e+00,9.7550749836991957e-01
4.6100000000000000e+03,-1.9842029928432010e+00,2.5035043156539905e+00,9.7555844719149865e-01,7.2238505312064083e+00,9.7555627846454129e-01
4.6200000000000000e+03,-1.9842371780999783e+00,2.4983021902447216e+00,9.7561133953689672e-01,7.2087338641686074e+00,9.7560917550313786e-01
4.6300000000000000e+03,-1.9842668969984885e+00,2.4931018022293574e+00,9.7566292377456276e-01,7.1936613970211329e+00,9.7566076441373351e-01
4.6400000000000000e+03,-1.9843007972419739e+00,2.4879427784570725e+00,9.7571536306830420e-01,7.1786705446768613e+00,9.7571320836026709e-01
4.6500000000000000e+03,-1.9843130509567835e+00,2.4827073917700910e+00,9.7576220167705874e-01,7.1636485052724312e+00,9.7576005160180601e-01
4.6600000000000000e+03,-1.9843381248659084e+00,2.4775527238970971e+00,9.7581205749839084e-01,7.1487450214433919e+00,9.7580991203604373e-01
4.6700000000000000e+03,-1.9843523870691502e+00,2.4724655081037783e+00,9.7585741811175342e-01,7.1338463746917116e+00,9.7585527724256049e-01
4.6800000000000000e+03,-1.9843772698141422e+00,2.4673539621030796e+00,9.7590685750907924e-01,7.1190664721105712e+00,9.7590472121341587e-01
4.6900000000000000e+03,-1.9844063099552336e+00,2.4622828030886010e+00,9.7595715199317834e-01,7.1043660104498851e+00,9.7595502025154546e-01
4.7000000000000000e+03,-1.9844267177196340e+00,2.4572627104236746e+00,9.7600510529674533e-01,7.0896937568579599e+00,9.7600297808976821e-01
4.7100000000000000e+03,-1.9844597749946933e+00,2.4522521865725868e+00,9.7605603905752492e-01,7.0751323460572166e+00,9.7605391636595196e-01
4.7200000000000000e+03,-1.9844715102732471e+00,2.4471685166814132e+00,9.7610146155475530e-01,7.0605399195014620e+00,9.7609934335945781e-01
4.7300000000000000e+03,-1.9844958782498414e+00,2.4421621365146713e+00,9.7614986260832803e-01,7.0460616992103313e+00,9.7614774889029798e-01
4.7400000000000000e+03,-1.9845201434296562e+00,2.4371764038223773e+00,9.7619805948112215e-01,7.0316426932838656e+00,9.7619595022147221e-01
4.7500000000000000e+03,-1.9845527257419491e+00,2.4322479092571303e+00,9.7624815828246680e-01,7.0173183263637471e+00,9.7624605346242899e-01
4.7600000000000000e+03,-1.9845851711825246e+00,2.4273392743611475e+00,9.7629804662885944e-01,7.0030521379402488e+00,9.7629594622978355e-01
4.7700000000000000e+03,-1.9846070006287990e+00,2.4224303606100146e+00,9.7634458184866901e-01,6.9887947606322998e+00,9.7634248585202255e-01
4.7800000000000000e+03,-1.9846350135954822e+00,2.4175434510537888e+00,9.7639301401380463e-01,6.9746264402148519e+00,9.7639092240117131e-01
4.7900000000000000e+03,-1.9846462116468380e+00,2.4126049116044306e+00,9.7643706950532250e-01,6.9604450658697896e+00,9.7643498225840120e-01
4.8000000000000000e+03,-1.9846781920433245e+00,2.4077756972884528e+00,9.7648614871901684e-01,6.9464087755792567e+00,9.7648406581962088e-01
4.8100000000000000e+03,-1.9847058823529411e+00,2.4029481457933435e+00,9.7653398461858243e-01,6.9324114897954860e+00,9.7653190604863849e-01
4.8200000000000000e+03,-1.9847376063057456e+00,2.3981574836737125e+00,9.7658265919933629e-01,6.9184878083641523e+00,9.7658058494088362e-01
4.8300000000000000e+03,-1.9847567791347547e+00,2.3933338203671157e+00,9.7662802732353560e-01,6.9045680451334919e+00,9.7662595735872482e-01
