euler_pos0,euler_pos1,euler_pos2,verlet_pos0,verlet_pos1,verlet_pos2
0.658644,0.756403,0,0.656585,0.754256,0
0.653898,0.760544,0,0.651833,0.758367,0
0.649126,0.764654,0,0.647055,0.762447,0
0.644328,0.768735,0,0.642252,0.766498,0
0.639505,0.772786,0,0.637423,0.770518,0
0.634656,0.776806,0,0.632569,0.774508,0
0.629783,0.780796,0,0.62769,0.778467,0
0.624884,0.784756,0,0.622787,0.782396,0
0.619961,0.788684,0,0.617859,0.786293,0
0.615013,0.792582,0,0.612906,0.79016,0
0.61004,0.796449,0,0.607929,0.793995,0
0.605043,0.800285,0,0.602929,0.797799,0
0.600023,0.804089,0,0.597904,0.801572,0
0.594978,0.807862,0,0.592856,0.805313,0
0.58991,0.811603,0,0.587784,0.809022,0
0.584819,0.815312,0,0.582689,0.812699,0
0.579704,0.818989,0,0.577572,0.816344,0
0.574566,0.822635,0,0.572431,0.819957,0
0.569406,0.826248,0,0.567268,0.823538,0
0.564223,0.829828,0,0.562082,0.827086,0
0.559017,0.833377,0,0.556875,0.830601,0
0.553789,0.836892,0,0.551645,0.834084,0
0.54854,0.840375,0,0.546393,0.837533,0
0.543268,0.843825,0,0.54112,0.84095,0
0.537975,0.847242,0,0.535826,0.844333,0
0.532661,0.850625,0,0.53051,0.847683,0
0.527325,0.853976,0,0.525174,0.851,0
0.521968,0.857292,0,0.519816,0.854283,0
0.516591,0.860576,0,0.514438,0.857532,0
0.511193,0.863825,0,0.50904,0.860747,0
0.505775,0.867041,0,0.503622,0.863929,0
0.500337,0.870223,0,0.498184,0.867076,0
0.494879,0.87337,0,0.492726,0.870189,0
0.489401,0.876483,0,0.487249,0.873268,0
0.483903,0.879562,0,0.481752,0.876312,0
0.478387,0.882607,0,0.476237,0.879322,0
0.472851,0.885617,0,0.470703,0.882297,0
0.467297,0.888592,0,0.46515,0.885237,0
0.461724,0.891533,0,0.459579,0.888142,0
0.456133,0.894438,0,0.453989,0.891012,0
0.450523,0.897309,0,0.448382,0.893847,0
0.444896,0.900144,0,0.442757,0.896647,0
0.43925,0.902944,0,0.437115,0.899411,0
0.433588,0.905708,0,0.431455,0.90214,0
0.427908,0.908437,0,0.425778,0.904833,0
0.422211,0.911131,0,0.420084,0.90749,0
0.416497,0.913789,0,0.414374,0.910112,0
0.410767,0.916411,0,0.408648,0.912697,0
0.40502,0.918997,0,0.402905,0.915247,0
0.399257,0.921547,0,0.397147,0.91776,0
0.393478,0.924061,0,0.391372,0.920238,0
0.387684,0.926538,0,0.385583,0.922678,0
0.381874,0.92898,0,0.379778,0.925083,0
0.376048,0.931384,0,0.373958,0.927451,0
0.370208,0.933753,0,0.368123,0.929782,0
0.364353,0.936085,0,0.362274,0.932077,0
0.358483,0.93838,0,0.356411,0.934335,0
0.3526,0.940638,0,0.350533,0.936556,0
0.346702,0.942859,0,0.344642,0.93874,0
0.34079,0.945044,0,0.338737,0.940887,0
0.334864,0.947191,0,0.332818,0.942996,0
0.328925,0.949301,0,0.326887,0.945069,0
0.322973,0.951374,0,0.320942,0.947104,0
0.317008,0.95341,0,0.314985,0.949102,0
0.311031,0.955409,0,0.309016,0.951062,0
0.305041,0.957369,0,0.303034,0.952985,0
0.299038,0.959293,0,0.29704,0.95487,0
0.293024,0.961179,0,0.291035,0.956718,0
0.286998,0.963027,0,0.285018,0.958528,0
0.28096,0.964837,0,0.27899,0.9603,0
0.274912,0.966609,0,0.272951,0.962034,0
0.268852,0.968344,0,0.266901,0.96373,0
0.262781,0.97004,0,0.26084,0.965388,0
0.2567,0.971699,0,0.254769,0.967007,0
0.250608,0.973319,0,0.248688,0.968589,0
0.244507,0.974902,0,0.242598,0.970133,0
0.238395,0.976446,0,0.236498,0.971638,0
0.232274,0.977951,0,0.230388,0.973105,0
0.226144,0.979419,0,0.224269,0.974533,0
0.220004,0.980848,0,0.218142,0.975923,0
0.213856,0.982238,0,0.212006,0.977274,0
0.207699,0.98359,0,0.205861,0.978587,0
0.201533,0.984904,0,0.199709,0.979861,0
0.195359,0.986178,0,0.193548,0.981097,0
0.189178,0.987415,0,0.18738,0.982293,0
0.182989,0.988612,0,0.181204,0.983451,0
0.176792,0.989771,0,0.175022,0.98457,0
0.170588,0.99089,0,0.168832,0.985651,0
0.164377,0.991971,0,0.162636,0.986692,0
0.15816,0.993013,0,0.156433,0.987694,0
0.151936,0.994016,0,0.150224,0.988658,0
0.145706,0.99498,0,0.144009,0.989582,0
0.13947,0.995905,0,0.137789,0.990468,0
0.133228,0.996791,0,0.131563,0.991314,0
0.12698,0.997638,0,0.125332,0.992121,0
0.120728,0.998446,0,0.119096,0.992889,0
0.11447,0.999215,0,0.112855,0.993617,0
0.108208,0.999944,0,0.10661,0.994307,0
0.101941,1.00063,0,0.10036,0.994957,0
0.0956703,1.00129,0,0.0941068,0.995568,0
0.0893953,1.0019,0,0.0878497,0.99614,0
0.0831166,1.00247,0,0.0815891,0.996672,0
0.0768343,1.003,0,0.0753253,0.997165,0
